gene	cc01-20covid1	cc01-20covid2	cc03-19covid	cc03-20covid1	cc03-20covid2	cc01-20mock1	cc01-20mock2	cc03-19mock1	cc03-20mock1	cc03-20mock2
AC009690.1	0	0	0.09	0	0	0.19	0	0.03	0	0
KRT8P22	0.03	0.03	0	0	0	0	0	0.03	0	0
AC046158.1	0.11	0.26	0.05	0	0	0.17	0.18	0	0.26	0.27
TLE7	0	0	0.09	0	0	0.05	0	0.05	0	0
AC139256.2	1.17	1.35	3.55	1.27	1.25	3.48	4.14	1.5	3.15	3.26
LINC01227	0	0	0	0	0	0	0	0	0	0.08
LINC00554	0	0	0	0	0	0	0	0	0	0
AC010760.1	0	0	0	0	0	0	0	0	0	0
AC026471.3	0.25	0.46	0.13	0.16	0.08	1.27	0.88	0.25	0.08	0.62
AC099482.1	0	0	0.25	0	0	0	0	0	0	0.11
AC009962.1	0	0	0.09	0.12	0.02	0.02	0	0.04	0.02	0.13
AC007823.1	0.02	0.04	0.07	0.24	0.24	0.18	0.05	0.24	0.23	0.06
AC007494.2	0	0.15	0.34	0	0	0.27	0.29	0.21	0.18	0.26
KIF18BP1	0	0	0	0	0	0	0	0	0	0
AC022968.1	1.97	1.3	0.86	0	0.99	0.35	1.32	1.98	2.21	1.13
AC092720.1	0	0	0	0	0	0	0.03	0	0.05	0
AC008870.3	0.29	0.25	1.19	0.25	0.3	0.43	1.49	0.04	0.8	0.84
AC010542.2	0	2.25	0.19	1.15	0.43	1.7	1.91	0	0	0.59
AC131649.1	0	0	0	0	0	0.03	0	0	0	0
AC093520.1	0	0	0	0	0	0	0	0	0	0
AP001120.1	0	0	0	0	0	0	0	0	0	0
AC106754.1	0	0	0	0	0	0	0	0	0	0
ACSM5P1	0	0	0	0	0	0	0	0	0	0
AC106799.3	0	0.03	0	0	0	0.02	0	0	0	0
AC007224.1	0	0	0	0	0	0	0	0	0	0
CES1P2	0	0	0	0	0	0	0	0.1	0	0
AL138918.1	0	0	0	0	0	0	0	0	0	0
AC012321.1	1.07	1.82	2.49	1.04	0.73	4.84	4.6	1.77	1.77	2.97
AC055855.2	0.17	0	0.16	0	0	0.45	0	0	0.1	0
AC021087.3	1.11	0.93	1.26	0.27	0.44	2.61	1.93	0.43	1.68	1.33
AC104758.2	0	0	0	0	0	0.03	0	0	0	0
AC061975.1	0	0	0	0	0	0	0	0	0	0
AC009065.5	1.77	1.3	1.21	0.97	0.98	2.41	2.98	0.88	2.12	2.59
AP001180.1	0	0	0	0	0	0	0.1	0	0	0
AC087463.1	0	0	0	0	0	0	0	0	0	0
ARHGAP23P1	0	0	0	0	0	0	0	0	0	0
AC007225.1	0	0	0.02	0	0	0	0	0	0	0
AC026150.3	0	0.22	0.03	0	0	0.14	0.07	0	0	0
CASC17	0	0	0	0	0.03	0.07	0	0	0	0
AC108099.1	0	0	0	0	0	0	0	0	0	0
AC009063.2	0	0	0	0	0	0	0	0.01	0.07	0.2
AC092338.2	0	0	0.12	0	0.07	0.14	0	0.03	0.16	0
LINC02280	0	0	0	0.01	0	0	0	0	0	0
AC003102.1	1.07	1.36	3.31	0.55	0.98	1.39	1.75	0.66	2.62	2.9
AC093519.1	0	0	0	0	0	0	0	0	0	0
AC145285.3	0	0.14	0.14	0.17	0	0	0.08	0	0	0.1
AC106734.1	0	0	0	0	0	0	0	0	0	0
AC099314.1	0.17	0.33	0.48	0.29	0	0.28	0.86	0	0.81	0.71
KRT8P50	0	0.09	0	0	0	0.06	0	0	0	0
SERTM2	0.1	0.07	0.06	0	0.03	0.05	0	0	0	0
Z84723.1	0.06	0.07	0.06	0.13	0	0	0	0	0	0.13
LINC01963	0.1	0.18	0.25	0.21	0.3	0.02	0.13	0.43	0.48	0.09
AC092803.1	0.68	0.66	0.26	0.13	0.29	0.72	0.81	0.36	0.51	0.24
AL163051.1	0.65	1.33	1.41	0.46	0.61	1.6	2.21	0.58	2.31	2.87
CEROX1	0.15	0.25	0.65	0.02	0.19	0.62	1.12	0.73	0.14	0.22
AP003096.1	0.24	0	0	0	0.09	0.22	0.32	0	0	0.12
VPS35P1	0	0	0	0.04	0.06	0	0.03	0	0	0.12
AL135818.2	0.55	0.58	0.26	1.13	2.74	0.12	0.31	0	0	0
OR4C45	0	0	0	0	0	0.04	0	0	0	0
RARRES2P7	0	0	0	0	0	0	0	0	0	0
AC073657.1	0.27	0	0.5	0	0.05	0.09	0	0	0.09	0
PPIAP47	0	0	0	0	0.1	0	0	0.13	0	0
AC027279.1	0.01	0.02	0.07	0.02	0	0.13	0.17	0	0.02	0.02
AC074051.3	0	0	0	0	0	0	0	0	0	0
UNGP1	0	0	0	0	0	0	0	0	0	0
AC026461.3	0	0	0.63	0	0	0	0.21	0	0	0
AC138869.3	0	0	0	0	0	0	0	0	0	0
HMGB3P32	0.07	0	0	0	0.08	0	0	0	0	0
AL135744.1	0.25	0.36	0.12	0	0	0	0	0.07	0	0.08
AC125793.1	0	0	0	0	0	0	0	0	0	0
AC009055.2	0	0	0	0	0	0	0	0	0.05	0.05
AC007223.1	0	0	0	0	0	0	0	0	0	0
AC245033.1	0	0	0	0.34	0	0	0	0	0	0.65
AC022893.2	0	0	0	0	0	0	0	0	0	0
LINC01964	0	0	0	0	0	0	0.01	0	0	0
AC055876.4	0	0	0	0	0	0	0	0.06	0	0
AC138907.2	0	0	0	0.02	0	0	0	0	0	0
FRG2HP	0	0	0	0	0	0	0	0	0	0
AC133485.5	0	0	0	0.02	0	0	0	0	0	0
AC092114.1	0	0	0	0	0	0	0	0	0	0
AC007344.1	0	0	0	0	0	0	0	0	0	0
AC010542.3	0	0	0	0	0	0	0	0	0	0.1
FBXL19-AS1	3.28	3.34	3.47	1.84	1.81	2.4	1.99	1.31	0.51	0.78
AC109460.2	2.45	3.3	9.69	2.2	3.58	7.83	5.34	2.48	3.55	4.17
LINC02184	0	0	0	0	0	0	0	0	0	0
AL591848.4	0	0	0.06	0	0.04	0.04	0	0	0.05	0.07
AC018558.1	0	0	0	0	0	0	0	0	0	0
AC010551.3	0	0	0	0	0	0	0	0	0	0
AC025280.1	0	0	0	0	0	0	0	0.2	0	0
AC126773.5	0	0	0	0.19	0	0	0	0	0	0
AL049634.2	0	0.18	2.22	0.08	0.11	0.35	0	0.31	0.14	0
AC099506.1	0	0	0	0	0	0	0	0.02	0	0.01
CYP2C60P	0	0	0	0	0	0	0	0	0	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0
AC010287.1	0	0.12	0	0	0	0	0	0	0	0
AC138915.2	0	0	0	0	0	0	0	0	0	0
AC009107.1	0	0	0	0	0	0	0	0	0	0
LINC01960	0	0	0	0	0	0	0	0.04	0	0.05
NDUFB10P1	0	0	0	0	0	0	0	0	0	0
AC093510.2	0	0.08	0	0	0	0.27	0.05	0	0	0
AC106820.5	0.89	0.05	0	0.06	0	1.16	0.41	0	0.19	0.83
LINC01229	0	0	0	0	0	0.04	0.07	0	0.17	0.1
AP005233.2	0.82	0.9	1.23	1.33	1.75	0.63	0.79	0.12	0.57	2.08
AC104072.1	0	0	0	0	0	0	0	0.37	0	0
AL359258.2	0.59	1.15	0.55	0.55	0.35	0.58	0.55	0.41	0.77	0.69
HCCAT5	0	0	0	0	0	0	0	0	0	0
AC026458.1	0	0.18	0	0	0	0.1	0	0.1	0.12	0
VN1R65P	0	0	0	0	0	0	0	0	0	0
AC009120.3	0.08	0.15	0.3	0.18	0.09	0.43	0.54	0.17	0.48	0.4
TAT-AS1	0.33	0.47	0.33	0.19	0.11	0.15	0.24	0.42	0.24	0.5
CASC22	0	0	0	0	0	0	0	0	0	0
CKBP1	0	0	0	0	0	0	0	0	0	0
AC020978.3	0	0.09	0.78	0	0.31	0.97	0.92	0.09	0.33	0.34
AC105020.4	0	0	0.08	0	0	0	0	0.23	0	0.5
AC027682.3	0	0	0	0	0	0	0	0	0	0
AP003071.1	0	0	0	0	0	0	0	0	0	0
ARLNC1	0.23	0.12	0.26	0.05	0.13	0	0	0	0	0
DNM1P30	0	0	0	0	0	0	0	0	0	0
ADPGK-AS1	0.03	0.18	0.04	0.02	0.02	0.1	0.15	0.11	0	0
AC106886.2	3.99	7.4	21.43	7.75	9.32	5.55	6.32	5.59	6.01	4.25
AC145350.3	0	0	0	0	0	0	0	0	0	0
LINC02011	0	0	0	0	0.01	0	0	0	0	0
XKR7	0	0	0	0	0	0	0	0	0.04	0.01
AC009021.1	0	0.22	0.11	0.13	0.02	0	0.16	0.49	0	0.26
AC015818.2	0.05	0	0	0	0.1	0.33	0.18	0	0.05	0.71
AC009093.3	0.16	0.11	0.08	0.18	0.09	0.13	0.04	0.08	0.12	0.1
AC012186.1	0	0	0	0	0	0	0	0	0	0
LINC00565	0	0.06	0.06	0	0	0	0	0.26	0	0.12
AC135050.3	0	0.09	0.71	0	0.32	0.9	0.73	0.29	0.45	0.24
AL158206.1	12.4	13.38	13.62	5.74	8.68	11.61	13.12	13.98	6.21	7.12
LINC01254	0	0	0	0.1	0	0	0	0	0	0
AC026464.4	72.02	70.49	77.52	84.21	94.33	57.84	52.57	81.64	75.28	73.77
CCPG1	70.7	67.47	71.8	70.44	75.54	68.38	58.84	45.88	68.14	65.36
AL158212.3	0.03	0.21	0.43	0.22	0.16	0.24	0.47	0.14	0.62	0.33
AC107398.3	0	0	0	0	0	0.1	0.03	0.07	0	0.01
AC100835.1	0	0	0	0	0	0	0	0	0	0
AL031985.3	0.95	0.69	0.53	1.15	1.3	0.74	0.56	1.05	0.81	1.29
AC142086.4	0	0	0	0	0	0	0	0	0	0
AC009139.1	0	0	0	0.14	0.04	0.06	0.05	0	0	0
LINC02193	0.65	1.1	1.1	0.85	0.6	0.5	0.6	0.53	1.88	1.21
LINC01311	0.66	0.68	1.92	0.43	0.76	2.6	2.61	0.67	1.69	1.55
AC016134.1	0	0.04	0.04	0	0.05	0	0.22	0	0.05	0
AC009107.2	1.65	4.01	5.71	3.33	4.2	4.46	7.49	2.95	4.3	8.32
SPCS2P1	0	0	0	0	0	0	0	0	0	0
LINC01416	0.02	0	0	0	0.07	0	0	0	0	0.02
AC009119.2	0	0	0	0	0	0.62	0	0	0	0
AC091489.2	0	0	0	0	0	0	0	0	0	0
AC130456.5	0.35	0	0.33	0	0	0.43	0.7	0	0	0.2
AC025272.1	0	0	0	0	0	0	0	0	0	0
AC007346.2	0	0	0	0	0	0	0	0	0	0
LINC00622	0	0.07	0.04	0.08	0.24	0.4	0.08	0.07	0.2	0.06
CAPN10-DT	0.75	0.93	3.84	1.02	0.8	3.93	3.21	0.46	1.9	2.58
LINC02555	4.16	5.35	1.67	0.08	0.04	12.95	11.92	2.51	0.31	0.05
FOXC2-AS1	0	0	0	0.14	0	0	0	0	0.66	0
AC109495.1	0	0	0	0	0	0	0	0	0	0
AL356489.2	0	0	0	0.11	0.09	0	0	0	0.06	0
AL390195.3	0.11	0.07	0.03	0	0.04	0.15	0.2	0.09	0.22	0.07
AP006545.1	0	0.04	0.36	0.33	0.38	0.63	0.09	0.04	0.2	0.58
AC005100.1	0	0	0	0	0	0	0	0	0	0
AC009093.4	0	0	0	0	0	0	0	0.07	0	0
AL133297.1	0.74	0.61	0.1	0.84	0.61	0	0.36	0.11	0.26	0.27
AC100821.2	1.42	0.27	0.18	0.32	0.44	0	0.32	0.5	0	0.12
AC126323.5	0	0	0	0	0	0.07	0	0	0	0
AC023824.3	0	0	0	0	0	0	0	0	0	0
AC087463.2	0	0	0	0	0	0	0	0	0	0
LINC00557	0	0	0	0	0	0	0	0	0	0
AC026462.3	0.16	0	0	0.09	0	0	0	0.09	0	0.1
RPL23AP91	0	0	0	0	0	0	0	0	0	0
AP001486.2	0	0	0	0	0	0	0.18	0	0	0
RARRES2P5	0	0	0	0	0	0	0	0	0	0
WWOX-AS1	0.13	0.04	0.04	0.09	0	0.08	0.22	0	0.23	0.41
AC006288.1	0	0	0	0	0	0	0	0	0	0
AC119674.1	0.04	0	0.25	0	0.16	0.14	0.06	0	0	0.2
Z98259.1	0	0	0	0	0	0	0	0	0	0
AC009021.2	0	0	0	0	0	0.01	0	0	0	0
AC138907.3	0	0	0	0	0	0	0	0	0	0
AC007333.2	0	0	0	0	0	0	0	0	0	0
LINC01633	0	0	0	0	0	0	0	0	0	0
AC126407.1	0	0.02	0.14	0.22	0.2	0	0.1	0	0	0.13
AC022167.3	0	0.28	0	0.11	0	0	0	0.21	0	0
AC091932.1	0	0	0	0	0	0	0	0	0	0.13
AC010528.1	0	0	0	0	0	0	0	0	0	0
FGFR3P5	0	0	0	0	0	0	0	0	0	0
AC126335.1	0	0	0.15	0.09	0	0	0.18	0.17	0.19	0.1
AC090260.2	0	0	0.02	0	0	0	0	0.02	0	0.07
AL133297.2	0.85	0.24	0.73	0.29	0.2	1.83	1.05	0.53	1.43	1.51
Z94057.1	0	0	0	0	0	0	0	0	0	0
AC120498.5	0	0	0	0	0	0	0	0	0	0
DOCK9-DT	1.66	1.41	9.32	2.69	2.9	5.53	5.2	3.04	9.19	10.27
AGGF1P7	0	0	0	0	0	0	0	0	0	0
AL512634.1	0	0	0.08	0	0	0	0	0	0	0
BX255925.1	0	0	0.17	0.02	0	0	0	0.12	0.02	0.02
AC004847.1	0.09	0.18	0.07	0	0	0.18	0.15	0.12	0	0
AC009137.1	0	0	0	0	0	0	0	0	0	0
AC244034.2	0.08	0.23	0.31	0	0	0.26	0.54	0.08	0.29	0.1
AC036103.1	0	0	0.05	0.06	0	0.27	0.23	0	0	0.32
AL008628.1	0.03	0.03	0.08	0	0	0.01	0.02	0	0	0
AC074051.4	0	0	0	0	0	0	0.1	0	0	0
LINC01572	0.67	0.81	0.99	0.66	0.94	0.86	2.29	1.05	0.87	3.22
AC141257.1	0	0	0	0	0	0	0	0	0	0
RARRES2P6	0	0	0	0	0	0	0	0	0	0
AL136982.4	0.27	0	0.34	0	0.71	0	0.11	0	0.05	0.72
AC115619.1	0	0	0	0	0	0	0	0	0	0
LINC02165	0	0	0	0	0	0	0	0	0	0
AC096996.1	0	0	0	0	0	0	0	0	0	0
AC002101.1	0	0	0	0	0	0	0	0	0	0
AC010132.4	0.05	0.05	0.15	0	0	0.03	0.03	0	0.03	0
AC132825.3	0	0	0	0	0	0	0	0	0	0
AL078644.1	0	0	0.33	0	0	0	0	0	0	0
AL445471.2	0	0	0	0	0	0	0	0	0.02	0
AC105046.1	0	0	0	0	0	0	0	0	0	0
AC012322.1	0	0	0	0	0	0	0	0.09	0	0
AC138304.1	0	0	0	0	0	0	0	0	0	0
AC079171.1	0	0	0	0	0	0	0	0	0	0
AC005730.2	0	0	0	0	0	0	0	0	0	0
AL139348.1	0	0	0	0	0	0	0	0	0	0
AC113418.1	0	0	0.3	0	0	0	0	0.08	0	0
AC010266.2	0	0.01	0	0	0	0.04	0	0	0	0
AL133457.1	0	0	0	0	0	0	0	0	0	0
LINC02544	0	0	0	0	0	0	0	0	0	0
WFDC21P	235.83	248.43	805.67	312.98	378.59	148.04	543.18	141.12	660.71	666.49
AC138749.3	0	0	0	0	0	0	0	0	0	0
AC019294.3	0	0	0	0	0	0	0.01	0	0	0
AP006547.1	0	0	0	0	0	0	0	0	0	0
LINC02129	0	0	0	0	0	0	0	0	0	0
C2orf69P1	0	0	0	0	0	0	0	0	0	0
AC137527.1	0	0	0	0	0	0	0	0	0	0
AC012414.5	0	0	0	0	0	0	0	0	0	0.14
AC007347.1	0	0	0	0	0	0	0	0	0.2	0
AC107021.2	0.09	0.07	0.3	0.1	0.08	1.02	0.6	0.05	0.15	0.24
SULT1A3	23.17	25.91	17.87	12.24	9.52	22.85	29.37	24.6	19.84	16.86
NAMPTP3	0	0.22	0.45	0	0	0.5	0.52	0.24	0	0
AC036108.2	0	0	0.03	0	0.08	0.06	0	0	0.1	0.13
AL450468.2	0.11	0	0	0	0	0	0	0	0	0
AC079416.2	0.12	0.09	0.09	0.08	0.03	0.08	0	0	0.25	0.09
LINC00555	0	0	0	0	0	0	0	0	0	0
AC099508.2	0	0	0	0	0	0	0	0	0	0
AL160286.2	0	0	0	0	0	0	0	0	0.05	0
AC092718.4	2.87	3.69	2.08	4.25	4.69	0.76	0.92	3.87	0.98	1.38
AC009139.2	0	0	0	0	0	0	0	0	0	0
LINC02256	1.77	3.5	1.11	1.2	0.94	15.64	17.33	1.66	10	7.3
AL592146.1	0	0.04	0	0	0	0	0	0	0	0
AC074052.2	0	0	0	0	0	0	0	0	0	0
AC109460.3	0.27	0.32	0.73	0.26	0.08	0.43	0.24	0.22	0.44	0.18
AL512274.1	1.8	2.12	6.48	9.73	10.89	2.09	3.56	2.69	2.65	2.95
AC124312.3	0.59	0.64	0.69	0.59	0.63	0.27	1.1	0.9	0.37	0.46
AP003071.2	0	0	0	0	0	0	0	0	0	0
AL441883.1	0	0	0	0	0	0	0	0	0	0
AC084783.1	0	0	0	0	0	0.09	0.28	0	0	0.11
LINC01195	0	0	0	0	0	0	0	0	0	0
AC016396.2	0	0	0	0	0.03	0	0	0	0	0
AC016180.2	0	0	0	0	0	0	0	0	0	0
AC009118.1	0	0	0	0	0	0	0	0	0	0
AC009053.3	0.25	0.23	0.36	0.07	0.02	0.51	0.82	0.13	0.35	0.26
RUNX2-AS1	0	0	0	0	0	0	0.03	0	0	0
AC025678.2	0	0	0	0	0	0	0	0	0	0
LINC01228	0	0	0	0	0	0	0	0	0	0
LINC02516	0.04	0.04	0.18	0	0	0.09	0	0.02	0.03	0
PPP1R1AP2	0	0	0	0	0	0	0	0	0	0
ZNNT1	0.15	0.1	0.52	0.16	0.16	1.99	0.61	0.05	0.35	0.23
CDC37P2	0.33	0	0	0	0	0	0	0.11	0	0
AC127459.2	0	0	0	0	0	0	0	0	0	0
LINC02178	0	0.38	1.05	0.79	1.37	1.07	0.9	2.6	2.16	3.03
AC141586.3	0	0	0	0	0	0	0	0	0	0
AC007066.2	0.75	0.13	0.95	0	0.2	1.63	1.15	0.95	0.84	1.89
AC136285.1	0	0	0	0	0	0	0	0	0	0
AC073476.3	0	0.04	0	0.1	0	0.32	0.16	0.03	0	0.05
LINC00563	0	0	0	0	0	0	0	0	0	0
AP000766.1	0.01	0.02	0.07	0.02	0.1	0.22	0.15	0.01	0.04	0.4
AC234775.3	0.06	0.23	0.11	0.07	0	0.26	0.2	0.19	0.14	0.3
ATP5MFP6	0	0	0	0	0	0.39	0	0	0.44	0
AC009063.3	0.05	0	0	0.07	0.01	0.03	0.08	0	0	0.04
AC093904.4	0.31	0.27	0.68	0.67	0.99	0.27	0.25	0.35	1	0.86
LMO7-AS1	0.2	0.53	0.4	0.95	0.9	2.06	1.14	0.08	2.09	1.87
AC138907.4	0	0	0	0	0	0	0	0	0	0
AC133569.1	0	0	0	0	0	0	0	0	0	0
AC009034.1	0	0	0	0	0	0.12	0.79	0	0	0.09
AC012181.1	0.17	0.41	0.7	0.19	0	0.16	0.48	0.41	0	0
TMEM178B	0	0.01	0.03	0.3	0.1	0	0.05	0.02	0.11	0.07
AL049555.1	0	0	0	0	0	0	0	0	0	0
AC009486.1	0.05	0	0.23	0	0.05	0.2	0	0.1	0.17	0.24
AC092123.1	0.11	0.33	0.5	0	0.12	0.47	0.35	1.43	1.27	0.61
AL133299.1	0	0	0	0	0	0	0	0.17	0	0
LINC02473	0	0	0	0	0	0	0.04	0	0.09	0.14
LINC02167	0	0	0	0	0	0	0	0	0	0
AC009065.6	1.4	0.66	1.44	1.1	1.9	0.16	1.12	1.22	0.76	0.57
AC135050.4	0	0	0	0	0	0	0.09	0	0	0
RBFADN	0.01	0.08	0.09	0.18	0.19	0.98	0.16	0.35	0.41	0.22
AC133548.2	0	0	0	0	0	0	0	0	0	0
AC106871.1	0	0	0	0	0	0	0	0	0	0
AC140504.1	0.03	0.44	0.08	0.3	0.37	0.37	0.51	0.67	0.63	0.45
AC012186.2	0.28	0	0.68	0	0	0.46	0.32	0.44	0.17	0.18
AL137802.2	0.4	0.05	0.96	0.18	0	0.98	1.03	0.28	0.48	0.94
AC023908.3	0.08	0.16	0.59	0.04	0.26	0.54	0.21	0.1	0.45	0.65
AC093525.4	1.17	0.78	0.78	0.1	0.21	1.17	1.63	0.38	0.55	2.42
AC092718.5	0.07	0.06	0.06	0	0.15	0	0.23	0.49	0.49	0.09
ADAMTS7P3	0	0	0	0	0.01	0	0.12	0	0	0
AC092121.1	0	0	0	0	0	0	0	0	0	0
AC009060.2	0	0	0	0	0	0	0	0	0	0
AC007159.1	0	0	0	0	0	0	0	0	0	0
AC091167.2	0.42	0.1	0.88	0.17	0.13	0.35	0.03	0.21	1.44	0.88
EPPK1	4.81	5.54	4.35	13.44	11.88	14.6	13.63	9.79	13.79	12.4
AC012182.2	0	0	0	0	0	0	0	0	0	0
AC136428.3	0	0	0	0	0	0	0	0	0	0
LINC02131	0	0	0	0	0	0	0	0	0	0
LINC01989	0	0	0	0	0	0.11	0	0	0	0
AC109597.2	0	0.12	0	0	0	0	0	0	0	0
AC112484.3	0	0	0.05	0.16	0	0.31	0.16	0.05	0.11	0
AC009154.1	0	0	0	0	0	0	0	0	0	0
AC073429.2	0	0	0	0	0	0	0	0	0.03	0
AC107027.3	0.24	0.31	0.21	0.19	0.08	0.3	0.23	0.24	0.4	0.07
AL592424.1	0.12	0	0	0	0.08	0.08	0	0	0	0
AC009053.4	0	0	0.09	0.11	0.03	0.09	0.06	0.06	0.05	0.03
AC133919.2	0	0	0.14	0	0	0.48	0.37	0	0	0
AC018845.3	0	0.15	0	0.27	0	0	0.44	0	0.1	0
HMGB1P33	0	0	0	0	0	0	0	0	0.28	0
LINC02188	2.39	1.94	1.73	12.16	15.48	1.54	0.85	3.81	7.95	7.7
AC135012.1	0	0	0	0	0	0.01	0	0	0	0
AC009169.1	0	0	0	0	0	0	0	0	0	0
AC136619.1	0	0	0.13	0	0	0	0	0	0	0
AL596211.1	0	0	0	0	0	0	0	0	0	0
SPINT1-AS1	43.33	50.06	55.39	35.89	37.22	54.38	65.91	33.76	60.21	57.35
AC083864.3	0	0	0	0	0	0	0	0	0	0
AC079322.1	0	0	0.28	0.04	0.19	0.35	0.56	0	0.04	0.21
Z95115.1	1.81	1.7	2.19	0.9	1.32	4.47	3.65	1.45	6.88	5.98
AL031058.1	1.75	1.52	2.5	3.2	3.45	1.8	2.42	2.06	3.67	2.88
C16orf97	0	0	0	0	0	0	0	0	0	0
AC013640.1	0	0	0	0	0	0	0	0	0	0
RNF126P1	0.14	0.12	0.37	0.09	0	0.13	0.37	0.23	0.03	0.11
AC134312.4	0	0.14	0.07	0	0	0	0	0	0	0
LINC01898	0	0	0	0	0	0	0	0	0	0
AC027130.1	0	0	0	0.16	0	0	0.77	0	0	0.29
CYP4A43P	0	0	0	0	0	0	0	0	0	0
AC133561.3	0	0	0	0	0	0	0	0	0	0
AC005774.2	0	0	0	0	0	0	0	0	0	0
UBE2FP2	0.18	0	0	0	0	0	0	0	0	0
AC136944.2	0.04	0.03	0.06	0	0.02	0.1	0.1	0.04	0.12	0.06
Z83847.1	0	0.03	0.05	0	0.12	0.06	0.03	0	0.03	0.13
AC106782.2	0	0	0	0	0	0	0	0	0	0
AC004449.1	0	0	0	0	0	0	0	0	0	0
NIFKP4	0	0	0	0.04	0	0	0	0	0	0
LINC00561	0	0	0	0	0	0	0	0	0	0
AL031717.1	0.14	0.07	0.48	0	0.08	0.38	0.64	0.07	0	0.18
AL365475.1	0	0.02	0	0	0	0	0	0	0	0
SULT1C2P2	0	0	0.15	0	0	0	0	0	0	0
CLEC19A	0	0.09	0.06	0.02	0.02	0.13	0.03	0	0.25	0.12
AL031123.2	0	0.03	0	0.01	0	0.01	0.02	0	0.05	0.18
AC099786.3	0	0	0	0	0	0	0	0	0	0
AL162231.4	0.03	0.11	0.04	0	0	0.1	0.12	0.05	0	0
AC007216.2	0.11	0.22	0.11	0.13	0	0.12	0.38	0.24	0.81	0
BCAP31P1	0	0.11	0.11	0	0.13	0	0	0.12	0	0.15
AC099524.1	0	0	0	0	0.18	0.75	0.76	0	0.13	0.14
AC090651.1	0.12	0.06	0.12	0	0	0.4	0.07	0	0.08	0.08
AC103706.1	1.61	1.05	4.19	0.33	0.4	3.41	4.29	1.03	1.18	2.42
ZNF865	0.11	0.22	0.23	0.25	0.29	0.37	0.42	0.21	0.36	0.51
AC064805.1	0	0	0	0	0	0	0	0.02	0	0
AC092384.3	0.06	0.01	0.05	0	0	0.12	0.09	0.01	0	0
AC140912.1	0	0	0	0	0	1.06	0.49	0.31	0	0.05
AC021483.2	0.56	1.12	0.49	0.29	0.23	0.44	1.15	0.37	0.49	0.71
LINC02133	0.01	0.04	0	0	0.08	0	0	0.01	0	0
AC090751.1	0	0	0.35	0	0	0	0	0	0	0.23
ABCD1P3	0	0	0	0	0	0	0	0	0	0
AC025281.1	0	0	0	0	0	0	0	0	0	0
AC092142.1	0.47	0.83	0.76	0.9	0.7	1.17	0.95	0.77	5.95	4.32
BOP1	52.67	47.95	34.92	58.23	57.79	13.62	15.17	83.46	25.68	25.3
AC009166.1	0.08	0	0	0	0	0.18	0.1	0	0	0.21
ANKRD26P1	0	0	0	0	0	0	0	0	0	0
AC009065.7	0	0.21	0.44	0	0.4	0.37	0	0	0.65	0.14
LINC02128	0.21	0.09	0	0.09	0.18	0.14	0.05	0	0.11	0
AL136038.5	0.07	0	0.07	0.08	0	0.4	0.38	0.14	0.08	0
AC022165.1	0.63	0.85	1.75	0.32	1.46	6.06	5.28	1.09	1.66	2.31
AC104758.3	0	0	0	0	0	0	0	0	0	0
AC093520.2	0	0	0	0	0	0	0	0	0	0
GOLGA8T	0	0	0	0	0	0.03	0	0	0	0.05
AC009120.4	0	0	0	0	0.1	0.37	0	0	0.21	0.11
LINC01751	0	0	0	0	0	0	0	0	0	0
AL160286.3	0	0	0	0	0	0	0	0	0	0
Z97055.2	0.2	0.19	0.32	0.26	0.28	1.29	0.71	0.09	0.93	0.73
AC137932.2	0.06	0.16	0.12	0.35	0.07	0.4	0	0.32	0.1	0.12
AP000821.1	0	0	0	0	0	0	0	0	0	0
AC142086.5	0	0	0	0.03	0	0	0	0	0	0
AC106736.1	0	0	0	0	0	0	0	0	0	0
AC026462.4	0	0	0.07	0	0	0	0	0	0	0
AC138907.5	0	0	0	0	0	0	0	0	0	0
AC025271.2	0.14	0.05	0.05	0	0	0.43	0.22	0	0	0
AC008870.4	0	0	0.88	0	0.22	0	0	0	0.09	0
AC026470.2	0	0.46	0.18	0	0.11	0.1	0.22	0	0	0
AC112236.1	0.07	0.39	0.62	0.58	0.74	0.33	0.84	0.11	0.53	0.56
AC093278.2	0	0	0	0	0	0	0	0	0	0
AC012181.2	0	0.09	0.3	0	0.08	0.6	0.17	0	0.48	0.42
MUC22	0.16	0.28	0	0.01	0.04	0	0	0	0	0.01
AC138512.1	0	0	0	0	0.11	0	0	0	0	0
TP53TG3GP	0	0	0	0	0	0	0	0	0	0
AC092447.8	0	0	0	0	0	0	0	0	0	0
AP003071.3	0	0	0	0.05	0.21	0	0	0	0	0
AC009094.1	0	0	0	0	0	0	0	0	0	0
ULK4P1	0.03	0	0	0.1	0	0.37	0	0	0	0
AC009712.1	0	0	0	0	0	0	0	0	0	0
SOD1P2	0	0	0	0	0	0	0	0	0	0
RBM22P13	0	0	0	0	0	0	0	0	0	0
AC009117.2	0	0	0	0	0	0	0	0	0	0
ATP2C2-AS1	0.25	0.48	2.2	0.44	0.48	1.33	1.44	0.48	0.85	0.94
AC093525.5	0	0	0	0.2	0.09	0.07	0	0.31	0.14	0
AC034105.5	0	0	0	0	0	0	0	0	0	0
CYP4A44P	0	0	0	0	0	0	0	0	0	0
AC007906.1	0	0	0	0	0	0.09	0.27	0	0.1	0
AC110491.1	0	0	0	0	0	0	0.08	0	0	0
AC007601.2	0	0	0	0	0	0	0	0	0	0
